2024-08-13 21:29:32,424 - INFO - Proxy works! IP address: 111.83.20.149
2024-08-13 21:29:32,920 - INFO - Proxy works! IP address: 111.83.20.149
2024-08-13 21:30:45,794 - INFO - Getting https://scholar.google.com/scholar?start=40&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:47,429 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=40&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:47,513 - INFO - Getting https://scholar.google.com/scholar?start=50&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:49,547 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=50&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:49,715 - INFO - Getting https://scholar.google.com/scholar?start=60&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:51,771 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=60&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:51,883 - INFO - Getting https://scholar.google.com/scholar?start=70&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:53,968 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=70&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:54,068 - INFO - Getting https://scholar.google.com/scholar?start=80&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:55,558 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=80&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:55,653 - INFO - Getting https://scholar.google.com/scholar?start=90&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:57,475 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=90&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:57,559 - INFO - Getting https://scholar.google.com/scholar?start=100&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:58,824 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=100&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:58,923 - INFO - Saved 100 results for query: technology-enhanced autonomous learning
2024-08-13 21:30:58,923 - INFO - Getting https://scholar.google.com/scholar?hl=en&q=autonomous%20learning%20in%20language%20acquisition&as_ylo=2000&as_yhi=2024&as_vis=0&as_sdt=0,33
2024-08-13 21:31:00,851 - INFO - HTTP Request: GET https://scholar.google.com/scholar?hl=en&q=autonomous%20learning%20in%20language%20acquisition&as_ylo=2000&as_yhi=2024&as_vis=0&as_sdt=0,33 "HTTP/1.1 200 OK"
2024-08-13 21:31:00,962 - INFO - Getting https://scholar.google.com/scholar?start=10&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:03,166 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=10&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:03,242 - INFO - Getting https://scholar.google.com/scholar?start=20&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:05,219 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=20&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:05,300 - INFO - Getting https://scholar.google.com/scholar?start=30&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:06,737 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=30&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:06,826 - INFO - Getting https://scholar.google.com/scholar?start=40&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:08,640 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=40&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:08,771 - INFO - Getting https://scholar.google.com/scholar?start=50&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:10,796 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=50&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:10,884 - INFO - Getting https://scholar.google.com/scholar?start=60&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:12,978 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=60&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:13,212 - INFO - Getting https://scholar.google.com/scholar?start=70&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:15,390 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=70&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:15,477 - INFO - Getting https://scholar.google.com/scholar?start=80&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:17,465 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=80&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:17,554 - INFO - Getting https://scholar.google.com/scholar?start=90&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:19,582 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=90&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:19,665 - INFO - Getting https://scholar.google.com/scholar?start=100&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:21,676 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=100&q=autonomous+learning+in+language+acquisition&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:21,763 - INFO - Saved 100 results for query: autonomous learning in language acquisition
2024-08-13 21:31:21,763 - INFO - Getting https://scholar.google.com/scholar?hl=en&q=impact%20of%20self-regulated%20learning%20on%20academic%20performance&as_ylo=2000&as_yhi=2024&as_vis=0&as_sdt=0,33
2024-08-13 21:31:23,588 - INFO - HTTP Request: GET https://scholar.google.com/scholar?hl=en&q=impact%20of%20self-regulated%20learning%20on%20academic%20performance&as_ylo=2000&as_yhi=2024&as_vis=0&as_sdt=0,33 "HTTP/1.1 200 OK"
2024-08-13 21:31:23,770 - INFO - Getting https://scholar.google.com/scholar?start=10&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:25,697 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=10&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:25,800 - INFO - Getting https://scholar.google.com/scholar?start=20&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:27,482 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=20&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:27,576 - INFO - Getting https://scholar.google.com/scholar?start=30&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:28,940 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=30&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:29,020 - INFO - Getting https://scholar.google.com/scholar?start=40&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:30,610 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=40&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:30,694 - INFO - Getting https://scholar.google.com/scholar?start=50&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:32,554 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=50&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:32,646 - INFO - Getting https://scholar.google.com/scholar?start=60&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:34,386 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=60&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:34,471 - INFO - Getting https://scholar.google.com/scholar?start=70&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:35,820 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=70&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:31:35,909 - INFO - Getting https://scholar.google.com/scholar?start=80&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:31:38,005 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=80&q=impact+of+self-regulated+learning+on+academic+performance&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
